Test_No, Unit_Id, Variation, Status, Time_Taken(ms), Remarks
1, 1, ijk, Passed!,  0.000 ms
2, 1, ikj, Passed!,  0.000 ms
3, 1, jik, Passed!,  7.000 ms
4, 1, jki, Passed!,  7.000 ms
5, 1, kij, Passed!,  0.000 ms
6, 1, kji, Passed!,  0.000 ms

7, 10, ijk, Passed!,  165.000 ms
8, 10, ikj, Passed!,  141.000 ms
9, 10, jik, Passed!,  141.000 ms
10, 10, jki, Passed!,  140.000 ms
11, 10, kij, Passed!,  141.000 ms
12, 10, kji, Passed!,  157.000 ms

13, 11, ijk, Passed!,  173.000 ms
14, 11, ikj, Passed!,  194.000 ms
15, 11, jik, Passed!,  157.000 ms
16, 11, jki, Passed!,  185.000 ms
17, 11, kij, Passed!,  173.000 ms
18, 11, kji, Passed!,  172.000 ms

19, 12, ijk, Passed!,  219.000 ms
20, 12, ikj, Passed!,  230.000 ms
21, 12, jik, Passed!,  210.000 ms
22, 12, jki, Passed!,  239.000 ms
23, 12, kij, Passed!,  223.000 ms
24, 12, kji, Passed!,  224.000 ms

25, 13, ijk, Passed!,  278.000 ms
26, 13, ikj, Passed!,  262.000 ms
27, 13, jik, Passed!,  291.000 ms
28, 13, jki, Passed!,  265.000 ms
29, 13, kij, Passed!,  269.000 ms
30, 13, kji, Passed!,  276.000 ms

31, 14, ijk, Passed!,  327.000 ms
32, 14, ikj, Passed!,  315.000 ms
33, 14, jik, Passed!,  308.000 ms
34, 14, jki, Passed!,  440.000 ms
35, 14, kij, Passed!,  315.000 ms
36, 14, kji, Passed!,  320.000 ms

37, 15, ijk, Passed!,  426.000 ms
38, 15, ikj, Passed!,  387.000 ms
39, 15, jik, Passed!,  339.000 ms
40, 15, jki, Passed!,  386.000 ms
41, 15, kij, Passed!,  381.000 ms
42, 15, kji, Passed!,  411.000 ms

43, 16, ijk, Passed!,  446.000 ms
44, 16, ikj, Passed!,  442.000 ms
45, 16, jik, Passed!,  419.000 ms
46, 16, jki, Passed!,  513.000 ms
47, 16, kij, Passed!,  435.000 ms
48, 16, kji, Passed!,  500.000 ms

49, 17, ijk, Passed!,  524.000 ms
50, 17, ikj, Passed!,  509.000 ms
51, 17, jik, Passed!,  489.000 ms
52, 17, jki, Passed!,  541.000 ms
53, 17, kij, Passed!,  519.000 ms
54, 17, kji, Passed!,  515.000 ms

55, 18, ijk, Passed!,  571.000 ms
56, 18, ikj, Passed!,  595.000 ms
57, 18, jik, Passed!,  554.000 ms
58, 18, jki, Passed!,  648.000 ms
59, 18, kij, Passed!,  582.000 ms
60, 18, kji, Passed!,  591.000 ms

61, 19, ijk, Passed!,  660.000 ms
62, 19, ikj, Passed!,  643.000 ms
63, 19, jik, Passed!,  648.000 ms
64, 19, jki, Passed!,  611.000 ms
65, 19, kij, Passed!,  646.000 ms
66, 19, kji, Passed!,  639.000 ms

67, 2, ijk, Passed!,  13.000 ms
68, 2, ikj, Passed!,  16.000 ms
69, 2, jik, Passed!,  16.000 ms
70, 2, jki, Passed!,  16.000 ms
71, 2, kij, Passed!,  16.000 ms
72, 2, kji, Passed!,  15.000 ms

73, 20, ijk, Passed!,  776.000 ms
74, 20, ikj, Passed!,  727.000 ms
75, 20, jik, Passed!,  728.000 ms
76, 20, jki, Passed!,  792.000 ms
77, 20, kij, Passed!,  753.000 ms
78, 20, kji, Passed!,  709.000 ms

79, 21, ijk, Passed!,  2412.000 ms
80, 21, ikj, Passed!,  2255.000 ms
81, 21, jik, Passed!,  2300.000 ms
82, 21, jki, Passed!,  2531.000 ms
83, 21, kij, Passed!,  2266.000 ms
84, 21, kji, Passed!,  2476.000 ms

85, 22, ijk, Passed!, , Matrix dimensions are incompatible for multiplication.
86, 22, ikj, Passed!, , Matrix dimensions are incompatible for multiplication.
87, 22, jik, Passed!, , Matrix dimensions are incompatible for multiplication.
88, 22, jki, Passed!, , Matrix dimensions are incompatible for multiplication.
89, 22, kij, Passed!, , Matrix dimensions are incompatible for multiplication.
90, 22, kji, Passed!, , Matrix dimensions are incompatible for multiplication.

91, 23, ijk, Passed!, , Matrix dimensions are missing or invalid.
92, 23, ikj, Passed!, , Matrix dimensions are missing or invalid.
93, 23, jik, Passed!, , Matrix dimensions are missing or invalid.
94, 23, jki, Passed!, , Matrix dimensions are missing or invalid.
95, 23, kij, Passed!, , Matrix dimensions are missing or invalid.
96, 23, kji, Passed!, , Matrix dimensions are missing or invalid.

97, 24, ijk, Passed!, , Matrix dimensions must be positive integers.
98, 24, ikj, Passed!, , Matrix dimensions must be positive integers.
99, 24, jik, Passed!, , Matrix dimensions must be positive integers.
100, 24, jki, Passed!, , Matrix dimensions must be positive integers.
101, 24, kij, Passed!, , Matrix dimensions must be positive integers.
102, 24, kji, Passed!, , Matrix dimensions must be positive integers.

103, 25, ijk, Passed!, , Matrix contains missing or invalid values.
104, 25, ikj, Passed!, , Matrix contains missing or invalid values.
105, 25, jik, Passed!, , Matrix contains missing or invalid values.
